likes,sport,followers,statuses_count,text_stemmed,text_lemmatized,text_string
127,soccer,2656,38,"['write', 'book', 'soccer', 'granni', 'group', 'year', 'old', 'soccer', 'player', 'south', 'embark', 'journey', 'bring', 'soccer', 'granni', 'unit', 'state', 'play', 'tournament', 'miracl', 'joy', 'ensu']","['writing', 'book', 'soccer', 'granny', 'group', 'year', 'old', 'soccer', 'player', 'south', 'embarked', 'journey', 'bring', 'soccer', 'granny', 'united', 'state', 'play', 'tournament', 'miracle', 'joy', 'ensued']",writing  book  soccer  granny  group  year  old  soccer  player  south  embarked  journey  bring  soccer  granny  united  state  play  tournament  miracle  joy  ensued
1,soccer,8276,15884,"['recap', 'suffer', 'loss']","['recap', 'suffers', 'loss']",recap  suffers  loss
1,soccer,378,416,"['shot', 'hornet', 'even', 'match']","['shot', 'hornet', 'even', 'match']",shot  hornet  even  match
41,soccer,2233,7485,"['agre', 'peter', 'nation', 'coach', 'alreadi', 'said', 'pace', 'fall', 'lose', 'time', 'wait', 'bike', 'medic', 'assist', 'take', 'account', 'soccer', 'game', 'stop', 'cycl', 'work', 'pace', 'unfair', 'km']","['agree', 'peter', 'national', 'coach', 'already', 'said', 'pacing', 'fall', 'lose', 'time', 'wait', 'bike', 'medical', 'assistance', 'taking', 'account', 'soccer', 'game', 'stop', 'cycling', 'work', 'pacing', 'unfair', 'km']",agree  peter  national  coach  already  said  pacing  fall  lose  time  wait  bike  medical  assistance  taking  account  soccer  game  stop  cycling  work  pacing  unfair  km
1,soccer,1103,1516,"['warrior', 'week', 'girl', 'senior', 'night', 'vs', 'black', 'girl', 'soccer', 'senior', 'night', 'vs', 'jersey', 'night', 'prep', 'night']","['warrior', 'week', 'girl', 'senior', 'night', 'v', 'black', 'girl', 'soccer', 'senior', 'night', 'v', 'jersey', 'night', 'prep', 'night']",warrior  week  girl  senior  night  v  black  girl  soccer  senior  night  v  jersey  night  prep  night
1,soccer,723439,201277,"['target', 'suffer', 'defeat', 'ac', 'stutter', 'start', 'season', 'continu', 'night']","['target', 'suffered', 'defeat', 'ac', 'stuttering', 'start', 'season', 'continued', 'night']",target  suffered  defeat  ac  stuttering  start  season  continued  night
1,soccer,5671,22162,"['win', 'women', 'soccer', 'defeat', 'non', 'confer', 'road', 'match']","['win', 'woman', 'soccer', 'defeat', 'non', 'conference', 'road', 'match']",win  woman  soccer  defeat  non  conference  road  match
69,soccer,125398,23955,"['remind', 'well', 'announc', 'section', 'pair', 'th', 'annual', 'boy', 'girl', 'soccer', 'state', 'tournament', 'tonight', 'pm', 'et', 'ct', 'exclus']","['reminder', 'well', 'announcing', 'sectional', 'pairing', 'th', 'annual', 'boy', 'girl', 'soccer', 'state', 'tournament', 'tonight', 'pm', 'et', 'ct', 'exclusively']",reminder  well  announcing  sectional  pairing  th  annual  boy  girl  soccer  state  tournament  tonight  pm  et  ct  exclusively
1,soccer,8077,23670,"['great', 'see', 'soccer', 'group', 'today', 'cup', 'action', 'qualiti', 'club', 'safe', 'travel', 'home', 'good', 'luck', 'rest', 'way']","['great', 'see', 'soccer', 'group', 'today', 'cup', 'action', 'quality', 'club', 'safe', 'travel', 'home', 'good', 'luck', 'rest', 'way']",great  see  soccer  group  today  cup  action  quality  club  safe  travel  home  good  luck  rest  way
0,soccer,600,46882,"['think', 'gig', 'want', 'much', 'busi', 'big', 'equal', 'problem', 'plu', 'band', 'except', 'footbal', 'come', 'call', 'soccer', 'like', 'much', 'interest']","['think', 'gig', 'want', 'much', 'busy', 'big', 'equality', 'problem', 'plus', 'band', 'except', 'football', 'come', 'call', 'soccer', 'likely', 'much', 'interest']",think  gig  want  much  busy  big  equality  problem  plus  band  except  football  come  call  soccer  likely  much  interest
